Membership No  Date Joined  Active  
    71610      2018-7-21    no    
    75641      2016-7-1     no    
    17812      2017-2-20    no    
    84913      2015-4-14    no    
    69850      2019-8-8     no    
    90475      2017-9-16    no    
    67786      2016-5-14    no    
    66760      2019-2-14    no    
    75511      2016-4-17    no    
    40072      2015-6-11    no    
    91646      2016-6-13    no    
    81364      2019-3-9     no    
    87348      2018-5-21    no    
    72673      2020-5-13    no    
